更新时间,#genre#
2024-10-22 06:44:46,url
中国付费频道,#genre#
中国天气频道,http://139.196.151.191:2051/rtp/239.45.1.47:5140
中国天气频道,http://113.25.70.59:8891/rtp/239.1.1.107:8107$1920x1080
中国天气频道,http://110.178.77.222:8084/rtp/239.1.1.107:8107$1920x1080
中国天气频道,http://110.177.146.171:888/rtp/239.1.1.107:8107$1920x1080
中国天气频道,http://183.185.227.252:8002/rtp/226.0.2.103:8736$1920x1080
中国天气频道,http://171.116.151.33:8083/rtp/226.0.2.103:8736$1920x1080
中国天气频道,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8
中国交通频道,http://112.226.139.185:9999/rtp/239.253.254.177:8000$1920x1080
中国交通频道,http://122.9.151.210:887/rtp/238.255.2.220:5999
中国交通频道,http://beijing_unicom_udpxy_123_113_237_8888_1.isus.cc:8888/rtp/239.3.1.188:8001$1920x1080
中国交通频道,http://221.218.157.61:3527/rtp/239.3.1.188:8001$1920x1080
中央新影老故事频道,http://122.9.151.210:887/rtp/238.255.2.35:5999
中央新影中学生频道,http://122.9.151.210:887/rtp/238.255.2.181:5999
中央新影发现之旅频道,http://122.9.151.210:887/rtp/238.255.2.184:5999
百姓健康频道,http://113.25.70.59:8891/rtp/239.1.1.105:8105$1920x1080
百姓健康频道,http://110.178.77.222:8084/rtp/239.1.1.105:8105$1920x1080
百姓健康频道,http://110.177.146.171:888/rtp/239.1.1.105:8105$1920x1080
百姓健康频道,http://183.185.227.252:8002/rtp/226.0.2.132:8968$1920x1080
百姓健康频道,http://171.116.151.33:8083/rtp/226.0.2.132:8968$1920x1080
百姓健康频道,http://171.213.130.157:8088/rtp/239.93.42.35:5140
百姓健康频道,http://171.213.145.170:9999/rtp/239.93.42.35:5140$1920x1080
百姓健康频道,http://171.213.128.195:3333/rtp/239.93.42.35:5140$1920x1080
优优宝贝,http://113.25.70.59:8891/rtp/239.1.1.114:8114$1920x1080
优优宝贝,http://110.178.77.222:8084/rtp/239.1.1.114:8114$1920x1080
优优宝贝,http://110.177.146.171:888/rtp/239.1.1.114:8114$1920x1080
优优宝贝,http://183.185.227.252:8002/rtp/226.0.2.119:8864$1920x1080
优优宝贝,http://171.116.151.33:8083/rtp/226.0.2.119:8864$1920x1080
优优宝贝,http://120.55.49.231:3095/rtp/233.50.202.24:5140
车迷频道,http://113.25.70.59:8891/rtp/239.1.1.109:8109$1920x1080
车迷频道,http://110.178.77.222:8084/rtp/239.1.1.109:8109$1920x1080
车迷频道,http://110.177.146.171:888/rtp/239.1.1.109:8109$1920x1080
车迷频道,http://183.185.227.252:8002/rtp/226.0.2.138:9016$1920x1080
车迷频道,http://171.116.151.33:8083/rtp/226.0.2.138:9016$1920x1080
中华特产,http://113.25.70.59:8891/rtp/239.1.1.106:8106$1920x1080
中华特产,http://110.178.77.222:8084/rtp/239.1.1.106:8106$1920x1080
中华特产,http://110.177.146.171:888/rtp/239.1.1.106:8106$1920x1080
中华特产,http://183.185.227.252:8002/rtp/226.0.2.128:8936$1920x1080
中华特产,http://171.116.151.33:8083/rtp/226.0.2.128:8936$1920x1080
动漫秀场频道,http://139.196.151.191:2051/rtp/239.45.3.134:5140
动漫秀场频道,http://113.25.70.59:8891/rtp/239.1.1.80:8080$1920x1080
动漫秀场频道,http://110.178.77.222:8084/rtp/239.1.1.80:8080$1920x1080
动漫秀场频道,http://110.177.146.171:888/rtp/239.1.1.80:8080$1920x1080
动漫秀场频道,http://183.185.227.252:8002/rtp/226.0.2.183:9376$1920x1080
动漫秀场频道,http://171.116.151.33:8083/rtp/226.0.2.183:9376$1920x1080
动漫秀场频道,http://120.55.49.231:3095/rtp/233.50.201.184:5140
动漫秀场频道,http://42.92.117.243:8888/rtp/239.255.29.16:8231
动漫秀场频道,http://60.164.128.167:8029/rtp/239.255.29.16:8231
动漫秀场频道,http://www.lebaobei.top:6868/rtp/239.255.29.16:8231$1920x1080
动漫秀场频道,https://stream1.freetv.fun/ipv6-dong-man-xiu-chang-7.m3u8
动漫秀场频道,https://stream1.freetv.fun/116b072fce86ad7fb72e6cb782fc5e85b72e4bae044922c23b702e6aa5a3adb8.m3u8
动漫秀场频道,https://stream1.freetv.fun/ipv6-dong-man-xiu-chang-10.m3u8
动漫秀场频道,https://stream1.freetv.fun/dong-man-xiu-chang-4.m3u8
动漫秀场频道,http://116.227.10.196:2048/rtp/239.45.3.134:5140$1920x1080
动漫秀场频道,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031113/1.m3u8
动漫秀场频道,http://122.9.151.210:887/rtp/238.255.2.196:5999
动漫秀场频道,http://60.168.225.55:2000/rtp/238.1.78.154:7104$1920x1080
动漫秀场频道,http://112.226.139.185:9999/rtp/239.253.254.115:8000$1920x1080
动漫秀场频道,https://stream1.freetv.fun/c1a9c0728c4a8d7636c7de8d4f69f3abdc906231ea7f7e72d59433843738617f.m3u8
动漫秀场频道,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226197/index.m3u8
动漫秀场频道,https://stream1.freetv.fun/7e65432fb94551c8a7abf4afa8996c11471807bf9cf6ec1a3e49a2c25b2c1f58.m3u8
